الرمز,السؤال,الأولوية,الموجة,
QS-01,مين بالضبط الإدارة اللي ليها صلاحية عاجل؟,MEDIUM,الموجة 2 - تصميم,
QS-02,عرض السعر — هل له تاريخ صلاحية (مثلاً 14 يوم)؟,MEDIUM,الموجة 2 - تصميم,
QS-03,الموظف لما يشوف عملاء زميله — يشوف كل حاجة ولا بيانات أساسية فقط؟,MEDIUM,الموجة 2 - تصميم,
QS-04,الخصم الإضافي — هل في حد أقصى (مثلاً 10%) أو مفتوح؟,MEDIUM,الموجة 2 - تصميم,
QS-05,إيه التقارير اللي محتاجها بشكل دوري (يومي/أسبوعي/شهري)؟,MEDIUM,الموجة 2 - تصميم,
QS-06,هل في حاجة مش مطلوبة تدخل في النظام دلوقتي (Out of Scope)؟,HIGH,الموجة 1 - أساسي,
QS-09,شاشة إجراءات التعاقد — فين تفاصيلها؟ مش موجودة في المتطلبات,HIGH,الموجة 1 - أساسي,
QS-10,هل في نموذج عقد موحد ولا لكل عميل عقد مختلف؟,HIGH,الموجة 1 - أساسي,
QS-11,هل التعاقد إلكتروني (توقيع) ولا ورقي؟,HIGH,الموجة 1 - أساسي,
QS-16,هل النظام الحالي عندك شيت Excel ولا CRM؟ وهننقل منه بيانات؟,HIGH,الموجة 1 - أساسي,
QS-17,هل تعرف عدد العملاء/الطلبات تقريباً في الشهر؟,MEDIUM,الموجة 2 - تصميم,
QS-18,الموظف يورث عملاء زميله الغايب — هل يشوف رقم التليفون والعنوان؟,MEDIUM,الموجة 2 - تصميم,
,,,,
