"الرمز","السؤال","الأولوية","الموجة"
"QV-01","ترميل الزجاج — مين بيعمل رسمة الترميل بالضبط؟","MEDIUM","الموجة 2 - تصميم"
"QV-02","لو في رسم من أكثر من مصدر — مين اللي بيحدد الرسمة النهائية؟","MEDIUM","الموجة 2 - تصميم"
"QV-03","في مرحلة المراجعة قبل التصنيع — بتعمل إيه بالضبط غير تأكيد الإكسسوار والرسومات؟","MEDIUM","الموجة 2 - تصميم"
"QV-04","إيه المدة الزمنية المتوقعة للمعاينة من استلام الطلب لرفع التقرير؟","MEDIUM","الموجة 2 - تصميم"
"QV-05","في تقارير مطلوبة منك غير مقاسات المعاينة؟","LOW","الموجة 3 - تحسينات"
"QV-06","هل في حاجة مش مطلوبة تدخل في النظام دلوقتي (Out of Scope)؟","HIGH","الموجة 1 - أساسي"
"QV-07","عدد المعاينات في اليوم/الأسبوع اللي بتعملوها تقريباً؟","MEDIUM","الموجة 2 - تصميم"
"QV-08","هل محتاج Calendar/Task لتنظيم مواعيد المعاينة؟","LOW","الموجة 3 - تحسينات"
"QV-09","""التنفيذي"" و""بطاقة الإكسسوار"" — يتحولوا أوتوماتيك للمخازن والفني ولا يدوي؟","MEDIUM","الموجة 2 - تصميم"
"QV-10","لو المقاسات اختلفت بعد المعاينة — نرجع للمبيعات ولا للمكتب الفني مباشرة؟","MEDIUM","الموجة 2 - تصميم"
"QV-11","مين بيبدأ طلب المعاينة — المبيعات ولا المشروعات ولا الاثنين؟","MEDIUM","الموجة 2 - تصميم"
