"الفجوة","الأولوية","الوصف","الحل_المقترح","القسم_المسؤول"
"توحيد قائمة البنود الإضافية بين الأقسام","HIGH","كل قسم يستخدم مصطلحات مختلفة لنفس البنود","قائمة موحدة لجميع البنود الإضافية","الكل"
"رقم مرجعي موحد (Order Reference)","HIGH","لا يوجد رقم يربط عرض السعر بالتركيب","Order Reference أوتوماتيكي يربط كل مراحل المشروع","النظام"
"بيانات الموقع غير محددة بالكامل","MEDIUM","هل العنوان كافي أم يحتاج GPS وطرق وصول؟","تحديد حقول بيانات الموقع كاملة","التركيبات"
"حالة عرض السعر قبل التركيب","MEDIUM","هل لعرض السعر حالة (معلق/مقبول/مرفوض)؟","إضافة حقل حالة لكل عرض سعر مع تاريخ صلاحية","المبيعات+التركيبات"
"البنود الإضافية — أسعار ثابتة أم حسب الحالة؟","MEDIUM","تسعير البنود غير محدد","تسعير مرن مع إمكانية التعديل حسب المشروع","التركيبات"
"إعادة التصنيع بعد بدل كسر — تلقائي؟","MEDIUM","هل إضافة بند يفتح أمر تصنيع تلقائي؟","أتمتة: إضافة بند ← فتح أمر تصنيع فرعي","التركيبات+المشتريات"
"إجبارية الصور والتقارير قبل الإغلاق","MEDIUM","هل رفع الصور والتقارير إجباري؟","جعل رفع الصور والتقرير شرطاً لإغلاق المشروع","التركيبات"
"مسؤولية تكلفة البنود الإضافية","MEDIUM","مين يتحمل التكلفة في كل حالة؟","مصفوفة مسؤولية التكاليف لكل بند","الإدارة+التركيبات+المشتريات"
"Calendar/تقويم مشترك للتركيبات","LOW","تنسيق مواعيد التركيب مع العملاء","شاشة Calendar مرتبطة ببروفايل العميل","التركيبات"
"تقييم رضا العميل بعد التركيب","LOW","لا يوجد استبيان أو تقييم بعد الإتمام","نموذج تقييم بسيط كآخر خطوة","التركيبات+المبيعات"
